Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense
-7.730877399,3.701435804,5.140350819,0.58276546,0.229685336,0.17715092,-7003,-4548,1936,645,293,517
-7.627926826,4.161122322,4.211400986,0.657290995,0.2003638,0.167377084,-7036,-4492,2012,499,178,-73
-7.769184589,4.058171749,4.237737179,0.580321968,0.216246292,0.163711891,-7035,-4691,2305,392,512,-113
-7.599195957,4.917690277,2.992752075,0.332310706,0.144164205,0.155159771,-6512,-5385,2044,-407,-449,-720
-7.39808321,4.922478676,2.932897091,0.230907068,0.090408057,0.113620937,-6288,-5425,1983,-168,40,-521
-7.405265808,5.317522049,2.657563925,0.041538838,-0.013439035,-0.018325957,-6191,-5704,2194,-21,-253,-752
-7.493851185,5.23611927,2.576161146,-0.114842668,-0.05375614,-0.083077677,-5586,-6192,2217,-336,2,-1872
-7.417236805,5.104437828,2.758120298,-0.120951317,-0.09285152,-0.075747289,-5362,-6115,2194,-366,-269,-1610
-7.570465565,5.133168221,3.42131424,-0.237015709,-0.172263995,-0.135612085,-5060,-6678,2191,-295,108,-954
-7.580042362,4.560954094,3.423708439,-0.125838235,-0.125838235,-0.136833817,-4857,-6557,2428,82,-117,-812
-7.515398979,4.302380562,3.900154591,-0.235793978,-0.155159771,-0.128281698,-4989,-6634,2286,97,-67,-18
-7.362170219,3.890577793,3.967192173,-0.376293004,-0.164933622,-0.119729586,-5125,-6778,2270,-354,-1,398
-7.481880188,3.711012602,4.472368717,-0.416610092,-0.180816114,-0.158824965,-5165,-6778,2255,-150,295,672
-7.682993412,3.919308186,4.697423935,-0.444709897,-0.160046697,-0.208915919,-5034,-6671,2187,-322,248,1126
-7.362170219,2.063801765,5.710171223,-0.695164621,-0.147829384,-0.166155353,-5928,-5800,1999,-349,346,970
-7.647080421,1.874659896,5.777208805,-0.597426236,-0.133168623,-0.117286131,-5827,-5952,1920,-151,-38,1079
-7.24724865,1.59693253,6.059724331,-0.058643065,0.025656341,0.037873644,-6978,-4574,2093,-580,36,737
-7.311892033,1.63763392,5.971138954,-0.047647487,0.028099801,0.003665192,-6646,-4923,1780,-485,-412,-768
-7.261613846,1.663970232,5.992686749,0.12339478,0.048869219,0.042760566,-6564,-4819,2090,-76,309,-49
-7.390900612,2.15478158,5.815515995,0.309097826,0.169820532,0.116064399,-7034,-4590,2174,-120,52,590
-7.405265808,2.537853718,5.401319027,0.478918344,0.163711891,0.089186326,-6973,-4539,2171,-266,-548,494
-7.76679039,3.315969467,4.86980629,0.324980319,0.184481308,0.070860371,-6795,-4692,1987,-92,-73,163
-7.817068577,3.895366192,4.429273129,0.309097826,0.160046697,0.13072516,-6829,-4618,1987,60,237,-119
-7.699752808,4.197035789,3.347094059,0.288328409,0.140499011,0.089186326,-6627,-4767,1917,128,134,-785
-7.623138428,4.472368717,3.143586874,0.166155353,0.079412483,0.063529983,-6763,-5132,1699,265,48,-864
-7.750030994,4.788403511,3.098097086,0.178372651,0.079412483,0.064751714,-6328,-5081,1759,125,24,-742
-7.726089001,4.98233366,2.985569477,0.142942473,0.024434609,0.014660766,-6480,-5265,2114,360,59,-410
-7.592013359,4.975151062,2.681505919,0.05375614,0.02687807,0.007330383,-6103,-5666,1964,-17,-299,-1320
-7.659051418,4.86741209,2.794033289,-0.035430185,-0.010995574,-0.00122173,-5733,-6268,2343,-39,32,-434
-7.673416615,5.164293289,2.602497339,0.032986723,0.021991149,0.020769419,-5642,-6103,2385,18,47,-243
-7.673416615,4.963180065,2.784456491,0.067195177,0.028099801,0.021991149,-5329,-6456,2424,5,92,-200
-7.773972988,5.147533417,2.67671752,0.043982297,0.025656341,-0.008552114,-5278,-6468,2412,-123,-122,115
-7.570465565,5.154716492,2.466027737,0.003665192,0.013439035,0,-5648,-6413,2197,51,43,-68
-7.546523571,4.860229492,2.643198729,-0.204028994,-0.087964594,-0.045204028,-5295,-6489,2259,47,123,-313
-7.189787865,4.57531929,2.698265314,-0.340862811,-0.158824965,-0.078190751,-5268,-6520,2296,40,-91,-344
-7.594407558,4.666299343,3.538630009,-0.378736466,-0.224798411,-0.128281698,-5499,-6498,2288,37,-100,-318
-7.10359621,4.42209053,3.94085598,-0.392175496,-0.194255143,-0.189368233,-5448,-6336,2220,59,-125,-308
-7.491456985,0.313640416,6.440402508,-2.35427475,-0.327423781,-0.700051546,-5423,-6292,2424,-170,-75,200
-7.496245384,-0.679953277,6.052541733,-2.056172371,-0.206472456,-0.553443909,-5404,-6450,2366,-397,-16,425
-6.665457726,-4.975151062,5.190629482,-2.411695957,-0.125838235,-0.86742866,-5262,-6514,1988,-774,357,1051
-7.455543995,-5.693411827,5.482721806,0.0842994,0.199142069,-0.245567828,-5586,-6239,2111,-188,513,1504
-6.512228489,-5.006275654,4.771644115,0.773355424,0.254119933,0.078190751,-6239,-5328,2050,-1035,383,1423
-6.265625954,-4.723760128,4.620809078,0.346971452,0.238237441,-0.024434609,-6428,-5447,1486,-1985,-230,951
-6.43082571,-4.769249916,4.996698856,0.453262001,0.194255143,-0.486248732,-6760,-5156,995,-2649,-1036,984
-6.533776283,-5.286397457,4.972756863,0.366519153,0.133168623,-0.465479314,-6826,-4611,1102,-1204,-609,1092
-6.047753334,-5.377377033,4.635174274,0.025656341,0.215024561,-0.411723167,-7224,-4065,1325,135,-402,261
-6.119579315,-6.110002518,4.584896088,-0.037873644,0.041538838,-0.296880513,-6884,-3974,1252,136,-781,-271
-5.956773758,-6.572083473,4.402936935,-0.083077677,0.003665192,-0.168598801,-6884,-4073,1609,-28,-168,629
-5.774814606,-6.641515732,4.67827034,-0.064751714,-0.064751714,-0.042760566,-7512,-4105,1250,1474,213,194
-5.394136429,-6.337451935,5.111620426,0.057421334,-0.122173049,-0.041538838,-7225,-4028,1509,1191,284,168
-5.334281445,-6.011840343,4.98233366,0.169820532,-0.094073251,-0.09285152,-7260,-4004,1895,1158,-70,559
-5.164293289,-6.452373505,4.730942726,-0.065973446,-0.035430185,-0.173485726,-7351,-3679,2172,990,-66,680
-4.558559895,-6.093243122,4.522646904,-0.554665625,-0.285884947,-0.302989155,-7383,-3399,2247,-4781,-3082,173
-4.558559895,-6.093243122,4.522646904,-0.554665625,-0.285884947,-0.302989155,-7203,-3960,2234,-4261,-1845,-304
-5.631162167,-7.625532627,6.35421133,1.018923283,0.12339478,1.021366715,-7334,-3468,1974,-1663,-366,-289
-5.767632008,-4.206612587,5.137956619,1.291369081,0.634078145,1.30480814,-7682,-3311,1774,-305,-15,-59
-6.842628479,-2.030282974,5.322310448,1.205847979,0.580321968,1.076344609,-7421,-3237,1780,-263,-78,-29
-8.015787125,2.063801765,4.616020679,0.478918344,0.086742863,0.260228604,-7114,-4159,1596,2517,1282,-37
-8.085219383,2.53067112,4.747702122,0.394618958,0.128281698,0.184481308,-7453,-3857,1454,3776,1754,-288
-8.046912193,3.08373189,3.675099611,0.416610092,0.207694188,0.140499011,-7106,-3811,1689,1382,841,-694
-8.116343498,3.327940464,3.660734415,0.449596822,0.241902635,0.116064399,-7295,-4404,1785,1286,813,-950
-8.185775757,3.799597979,3.246537447,0.296880513,0.157603234,0.02321288,-6894,-4443,1695,968,796,-712
-8.149862289,3.967192173,3.162740469,0.147829384,0.120951317,0.103847094,-6791,-4541,1879,526,430,-1265
-8.274360657,3.988739967,2.877830505,0.133168623,0.040317107,0.04642576,-6581,-4982,1854,-24,297,-1259
-8.121131897,3.926490784,2.681505919,0.05009095,0.102625363,0.05375614,-5868,-5693,2171,349,-406,-735
-8.142680168,3.948038578,2.707842112,0.040317107,0.04642576,0.019547688,-6174,-5628,2163,-3,54,-709
-8.118738174,4.024652958,2.655169725,0.008552114,0.05375614,0.065973446,-5865,-5928,1932,-22,-62,-727
-8.051700592,4.000710964,2.396595955,-0.048869219,-0.014660766,0.039095376,-5612,-6174,2032,124,1,-821
-7.862558365,4.01747036,2.698265314,-0.243124366,-0.109955743,-0.05375614,-5533,-6034,2313,54,20,-132
-7.821856976,3.758896589,2.8993783,-0.449596822,-0.193033412,-0.075747289,-5681,-6409,2369,116,19,-432
-7.864952564,3.560178041,3.452438831,-0.277332813,-0.224798411,-0.094073251,-5368,-6144,2391,-82,9,-592
-7.671022415,3.189076662,3.97676897,-0.797789991,-0.259006858,-0.356745303,-5395,-6311,2205,24,33,-610
-6.641515732,1.915361404,4.101267338,-1.74829638,-0.598647952,-0.636521578,-5079,-6381,2212,-285,80,-160
-6.83784008,-0.18435353,4.960785866,-1.615127683,-0.774577141,-1.056796908,-5040,-6684,2202,-369,-124,127
-6.414066315,-1.731007814,6.093243122,-1.036027431,-0.707381964,-1.436755061,-5029,-6703,2424,-130,84,-45
-6.713341713,-3.263296843,7.146692276,-1.492954612,-0.883311152,-1.660331726,-5247,-6393,2397,-155,84,264
-3.366247654,-7.086836815,6.299144745,-0.178372651,0.219911486,0.161268428,-6496,-5117,1691,-1006,-31,2631
-2.901772499,-6.694188118,5.832275391,-0.222354949,0.057421334,0.054977871,-6562,-4973,1265,-2367,-801,1299
-3.129221678,-7.055712223,5.913678169,-0.124616511,-0.018325957,-0.035430185,-6750,-4867,1355,-2428,-497,917
-3.246537447,-7.259219646,5.861005783,0.017104227,0.030543262,-0.010995574,-6995,-4490,1307,-1892,-353,877
-3.435679436,-6.828263283,5.638344765,-0.07696902,0.058643065,-0.056199603,-7248,-4154,1143,-265,-5,880
-3.222595453,-7.000645638,5.511452198,-0.037873644,-0.135612085,-0.1001819,-7060,-4102,641,-678,-203,259
-2.928108692,-7.352593422,5.717353821,-0.296880513,-0.245567828,-0.103847094,-7071,-3916,1074,-637,-843,-343
-2.71502471,-7.431602001,5.75805521,-0.02321288,-0.139277279,-0.073303826,-7053,-4115,988,-467,-751,-256
-3.643975019,-8.360552788,7.12993288,0.543670058,0.189368233,0.357967019,-7284,-4189,1339,-388,-1140,-541
-4.776432514,-6.344634533,7.249642849,1.232726097,0.968832254,1.441641927,-6889,-4072,1594,-882,97,-43
-5.188235283,-3.957615376,6.057330132,1.054353356,1.042136073,1.529606581,-7291,-4056,1544,-233,-105,-674
-5.68144083,-1.958456993,5.600037575,1.183856845,0.878424227,1.335351467,-6723,-4541,1562,22,90,-1523
-6.756437302,1.046266198,5.128379822,0.781907499,0.204028994,0.623082578,-7000,-4288,1053,-917,473,2050
-7.366958618,2.015917778,5.336675644,0.603534877,0.04642576,0.343306273,-6837,-4573,876,-1306,512,2053
-7.800309181,2.401384354,5.358223438,0.357967019,0.103847094,0.098960169,-6936,-4595,809,229,-776,-671
-7.795520782,2.643198729,5.233725071,0.467922777,0.205250725,0.108734012,-6316,-5166,1023,1592,-332,-602
-7.795520782,2.643198729,5.233725071,0.467922777,0.205250725,0.108734012,-6316,-5166,1023,1592,-332,-602
-7.965508938,3.617638826,4.089296341,0.507018149,0.169820532,0.145385921,-6551,-4968,1736,1948,990,-634
-7.965508938,3.617638826,4.089296341,0.507018149,0.169820532,0.145385921,-6551,-4968,1736,1948,990,-634
-7.635109425,3.907337189,3.256114244,0.199142069,0.080634214,0.041538838,-6728,-5195,2095,772,210,-532
-7.903259754,4.213795185,3.478775024,0.047647487,-0.009773844,0.021991149,-6470,-5453,2060,22,-74,-400
-7.893682957,4.448426723,2.990357876,0.031764992,0.040317107,0.007330383,-6123,-5653,1774,-75,-65,-841
-7.912836552,4.242525578,3.043030262,0.056199603,0.032986723,0.006108652,-5794,-5947,1925,367,-28,-850
-7.874529362,4.323928356,3.339911461,0.094073251,0.048869219,0.02687807,-5978,-5831,1980,262,101,-824
-7.757213593,4.369418144,3.15795207,0.052534413,0.014660766,-0.002443461,-5611,-6178,1993,115,102,-432
-7.809885979,4.496310711,3.002328873,0.029321533,0.035430185,0.004886922,-5537,-6235,1994,87,-63,72
-7.898471355,4.534617901,3.076549292,0.089186326,0.02687807,0.015882496,-5526,-6241,2012,0,107,13
-7.855375767,4.465186119,2.97599268,-0.036651913,-0.007330383,0,-5530,-6035,2032,-109,109,-268
-7.80509758,4.57531929,2.964021683,0.045204028,0.015882496,-0.030543262,-5324,-6470,2376,-296,74,30
-7.841010571,4.479551315,3.169923067,0.019547688,0.014660766,-0.013439035,-5348,-6431,2356,19,-84,78
-7.87931776,4.79079771,3.12203908,-0.040317107,-0.004886922,-0.008552114,-5368,-6468,2363,8,95,61
-7.776367188,4.520252705,3.105279684,0,0.037873644,-0.007330383,-5304,-6424,2376,-291,-281,-87
-7.759607792,4.553771496,3.035847664,-0.035430185,-0.00122173,-0.013439035,-5633,-6139,2345,69,31,-70
-7.666234016,4.299986362,3.153163671,-0.07696902,-0.063529983,-0.030543262,-5372,-6401,2353,73,32,-93
-7.381323814,3.988739967,3.184288263,-0.293215305,-0.133168623,-0.05375614,-5637,-6420,2374,74,39,80
-7.455543995,4.09408474,4.395754337,-0.5497787,-0.349414915,-0.182037845,-5357,-6451,2431,38,111,51
-6.528987885,1.101332784,4.623203278,-2.017076969,-0.511905074,-0.560774267,-5333,-6480,2190,71,-115,67
-5.379771233,-8.379706383,5.207388878,-1.615127683,-0.169820532,-1.765400529,-5666,-6064,2360,-566,285,1007
-6.435614109,-7.51300478,6.830657482,0.043982297,-0.1001819,-1.273043156,-5550,-6263,2043,-608,142,1471
-3.885789394,-6.773196697,5.015852451,0.029321533,0.166155353,-0.045204028,-6361,-5250,2061,-525,537,1563
-3.363853455,-7.647080421,5.207388878,0.019547688,-0.078190751,-0.266337246,-6566,-4576,2072,-2664,-1506,-391
-3.007117271,-7.240066051,5.178658485,-0.471587956,0.007330383,-0.417831838,-6503,-6732,455,-1037,-158,-190
-2.959233284,-7.975085735,5.336675644,-0.290771842,0.311541289,-0.343306273,-6115,-6229,758,1206,-1675,2200
-3.098097086,-8.662221909,4.398148537,0.103847094,0.555887401,-0.133168623,-5628,-5055,1621,2274,-1846,2548
-2.966415882,-8.178592682,3.634398222,0.329867244,0.252898216,-0.025656341,-6127,-5390,1753,117,170,-807
-2.901772499,-7.563282967,3.821146011,-0.009773844,-0.058643065,-0.064751714,-6132,-5451,1729,29,230,-802
-3.766079187,-8.461109161,5.152322292,-0.002443461,-0.128281698,0.108734012,-6309,-5135,1712,1117,889,3448
-4.34787035,-9.090784073,5.748478413,0.455705464,-0.073303826,0.658512712,-7164,-3944,1532,1387,2128,2507
-4.915296078,-8.020575523,6.047753334,1.104444385,0.145385921,1.260825872,-7718,-3656,1597,492,1356,1113
-4.838681698,-5.497087002,6.208165169,1.506393671,0.532674491,1.609019041,-7450,-3548,1389,-156,-10,-300
-5.099649429,-4.115632534,5.951985359,1.106887817,0.575435042,1.475850463,-7122,-3878,1339,-576,-24,-288
-5.743690014,-2.86107111,5.425261021,0.676838696,0.370184332,0.995710373,-7161,-3933,1326,-614,-110,94
-6.493074894,-1.570596337,5.865794182,0.453262001,0.204028994,0.647517145,-7506,-3865,1342,-129,34,-126
-7.740454197,0.169988319,5.954379559,0.794124842,0.252898216,0.461814135,-7130,-3725,1294,-5,-115,-205
-7.656657219,3.143586874,4.675876141,0.443488181,0.199142069,0.156381503,-6815,-4461,1519,210,-636,-897
-7.931990147,3.095702887,4.515464306,0.590095818,0.172263995,0.166155353,-6919,-4706,1882,-4,-135,-697
-7.54891777,3.093308687,4.046200752,0.376293004,0.160046697,0.125838235,-6958,-4556,1919,131,321,-296
-7.874529362,3.629609823,3.517082214,0.300545692,0.160046697,0.090408057,-6932,-4501,1873,178,141,40
-7.800309181,3.744531393,3.584120035,0.149051115,0.051312681,0.047647487,-7000,-4521,1480,636,245,-517
-8.030152321,3.945644379,3.543418407,0.10751228,0.063529983,0.013439035,-6559,-4901,1795,749,732,-232
-8.082824707,4.144362926,3.404554844,0.106290549,0.054977871,0.035430185,-6129,-5295,1912,27,-584,-1538
-7.965508938,4.254496574,3.045424461,0.079412483,0.080634214,0.039095376,-6053,-5330,1915,21,-588,-1230
-7.924807549,4.256890774,2.944868088,0.059864793,0.051312681,0.024434609,-6163,-5573,1749,346,-83,-815
-7.896077156,4.228160381,3.078943491,0.068416908,0.056199603,0.021991149,-5869,-5913,1790,286,124,-540
-7.84340477,4.304774761,2.961627483,0.035430185,0.025656341,-0.02321288,-5784,-5961,2073,-5,18,-315
-8.025363922,4.381389141,2.85867691,-0.031764992,0.004886922,-0.003665192,-5992,-5814,1969,105,-266,-437
-7.910442352,4.290409565,2.798821688,-0.002443461,-0.025656341,0.006108652,-5935,-5845,1972,73,-297,-401
-7.852981567,4.213795185,3.016694069,-0.034208454,-0.003665192,-0.002443461,-5727,-6056,2009,123,-85,-345
-8.037335396,4.304774761,2.647987127,-0.15393804,-0.004886922,-0.009773844,-5688,-6097,2304,57,83,24
-7.848193169,4.390965939,3.009511471,0.039095376,-0.019547688,0.00122173,-5713,-6097,2344,106,63,-169
-7.417236805,3.629609823,3.509899616,-0.393397212,-0.24678956,-0.122173049,-5665,-6126,2328,-281,-52,-33
-7.936778545,3.799597979,4.285621166,-0.547335267,-0.232128799,-0.204028994,-5658,-6102,2038,27,-111,-127
-7.867346764,3.579331636,4.192247391,-0.756251156,-0.168598801,-0.142942473,-5661,-6099,2304,60,-118,80
-6.737283707,2.52827692,3.981557369,-1.996307611,-0.411723167,-0.522900641,-5644,-6109,2029,-295,-112,7
-4.824316502,-7.69017601,5.717353821,0.196698606,-0.13072516,-0.09285152,-5868,-5898,2114,-284,76,1316
-4.201824188,-7.031770229,6.071695328,-0.173485726,0.004886922,0.065973446,-6055,-5023,1511,-2350,-611,515
-5.15950489,-4.680664539,7.335834026,2.227214575,0.366519153,1.078788042,-6464,-5698,1133,-2442,-371,-16
-5.655104637,-1.965639591,6.703764915,1.441641927,0.803898692,0.951728046,-6676,-5014,752,-370,124,1719
-6.205770969,-0.265756398,6.174646378,0.995710373,0.73181659,0.734260023,-7194,-4075,1048,1053,218,2451
-6.713341713,0.830788016,5.676652431,0.730594814,0.614530444,0.532674491,-7115,-3735,918,475,-309,1426
-7.479485989,2.372653961,5.176264286,0.419053555,0.194255143,0.158824965,-7440,-3866,1583,-288,-215,-267
-7.663839817,2.626439333,5.104437828,0.235793978,0.097738437,0.078190751,-7427,-3728,1433,587,268,78
-7.884106159,2.664746523,4.879383087,0.337197602,0.166155353,0.108734012,-7097,-3737,1427,837,199,-132
-7.91762495,3.998316765,4.024652958,0.389732033,0.145385921,0.083077677,-6829,-4257,1843,658,367,-443
-7.872135162,3.751713991,3.677493811,0.226020142,0.128281698,0.085521132,-7039,-4694,1839,436,637,-255
-7.886500359,4.175487995,3.287238836,0.134390354,0.04642576,0.043982297,-6625,-4983,1836,313,300,-674
-7.781155586,4.467580318,3.038241863,0.068416908,0.003665192,0.036651913,-6702,-5006,1900,262,114,-680
-7.891288757,4.292803764,3.203441858,0.036651913,0.015882496,0.020769419,-6375,-5052,1705,567,-244,-419
-7.850587368,4.596867085,3.002328873,0.048869219,0.031764992,0.003665192,-6413,-5292,2145,334,76,-1396
-7.884106159,4.505887508,3.071760893,0.02687807,0.025656341,0.020769419,-6117,-5342,2160,300,81,-1211
-7.802703381,4.57531929,2.961627483,0.010995574,0.034208454,0.002443461,-5631,-5866,1937,-327,39,-682
-7.783549786,4.709394932,3.114856482,-0.024434609,0.00122173,0.004886922,-5545,-6249,1940,-259,-110,-608
-7.927201748,4.742913723,2.880224705,0.02687807,-0.015882496,0.004886922,-5538,-6272,1952,93,75,97
-7.888894558,4.675876141,2.966415882,0.002443461,0.00122173,-0.007330383,-5594,-6185,2358,70,352,-1028
-7.673416615,4.548983097,2.952050686,-0.052534413,-0.024434609,-0.019547688,-5722,-6049,2306,-338,-92,-236
-7.673416615,4.548983097,2.952050686,-0.052534413,-0.024434609,-0.019547688,-5680,-6112,2308,-148,-108,-178
-7.280767441,3.991134167,3.301604033,-0.36774087,-0.197920337,-0.058643065,-5345,-6446,2017,55,-95,55
-7.541735172,4.141968727,4.326322556,-0.542448342,-0.245567828,-0.109955743,-5314,-6444,2047,-296,58,41
-5.61679697,-1.853112102,5.116408825,-2.453234911,-0.888198078,-1.368338108,-5353,-6459,2035,53,98,-114
-4.230554581,-9.255983353,6.924031258,-1.309695125,-0.381179899,-1.379333735,-5369,-6408,2160,-256,-74,583
-3.629609823,-9.325415611,5.669469833,-0.458148926,0.002443461,-0.654847562,-5695,-6055,2114,-372,-62,1146
-3.411737442,-7.922413349,5.571307182,-0.207694188,-0.012217305,-0.259006858,-5912,-5950,2131,-576,-7,924
-1.833958507,-8.152256966,5.248090267,-0.114842668,-0.230907068,0.014660766,-6183,-5604,1915,-1647,-447,1138
-1.802833915,-8.090007782,4.735731125,0.155159771,0.086742863,0.003665192,-6093,-5254,1636,-1818,-849,982
-1.874659896,-7.687781811,4.580107689,0.056199603,0.002443461,-0.111177474,-6291,-5031,1240,-1482,-406,1353
-1.726219416,-8.214506149,5.322310448,0.045204028,-0.183259577,-0.124616511,-6855,-4241,1193,45,298,2878
-1.537077546,-8.200140953,5.355829239,0.014660766,-0.215024561,-0.189368233,-7545,-3545,1371,-104,276,1159
-1.273715258,-7.92001915,4.994304657,0.020769419,-0.206472456,-0.215024561,-7368,-3548,1209,-690,-858,167
-1.213860273,-7.759607792,5.532999992,-0.254119933,-0.045204028,-0.248011291,-7474,-3939,1620,-911,-1589,144
-1.015141487,-8.374917984,4.953603268,-0.263893783,-0.019547688,-0.168598801,-7441,-3918,1523,-865,-692,-3
-0.356736064,-8.774748802,4.503493309,-0.216246292,-0.116064399,-0.063529983,-7487,-3689,1853,-587,55,-65
-0.476446152,-8.585607529,5.523423195,0.042760566,0.081855945,-0.112399206,-7310,-3500,1793,-404,13,-105
-1.503558636,-8.578424454,5.128379822,0.965167105,0.690277755,0.277332813,-7450,-3564,1517,-103,263,55
-2.248155355,-7.407660007,5.329493046,0.626747727,0.670730054,0.670730054,-7354,-3622,1413,-301,-29,294
-3.653551817,-5.68383503,6.363788128,-0.034208454,0.063529983,0.075747289,-7335,-3621,1662,-156,-101,88
-4.8291049,-6.54574728,7.723694801,0.05009095,0.008552114,0.108734012,-7319,-3464,1438,394,165,69
-5.628767967,-5.008669853,6.782773495,1.243721604,0.553443909,1.102000952,-7540,-3647,1390,1523,972,595
-5.310339451,-3.462015629,6.519411087,0.933402121,0.653625786,0.976162672,-7307,-3640,1222,2165,1101,1823
-5.286397457,-1.345541358,5.734113216,0.346971452,0.538783133,0.719599247,-7340,-3002,1269,2028,1051,2326
-6.481103897,-1.695094824,5.880159378,0.337197602,0.26145032,0.414166629,-7645,-2531,1537,1903,689,938
-7.163451672,-0.761356115,6.452373505,0.362853944,0.202807263,0.271224171,-7972,-2467,1604,1092,542,-62
-7.795520782,-0.076614454,6.459556103,0.409279704,0.229685336,0.315206468,-7634,-2552,1645,-123,-286,-332
-7.295132637,1.352723956,5.322310448,0.822224617,0.351858377,0.492357373,-7799,-2753,1250,-130,-19,-697
-7.711723804,2.671929121,4.891354084,0.326202035,0.167377084,0.218689755,-7050,-3821,1579,33,97,-951
-7.797914982,2.990357876,4.477157116,0.255341679,0.135612085,0.119729586,-7093,-3987,1566,-59,-84,-796
-7.855375767,3.019088268,4.343081951,0.34452799,0.156381503,0.116064399,-7049,-4034,1575,204,19,-619
-7.836222172,3.682282209,4.120420933,0.485027015,0.183259577,0.152716309,-7224,-4385,1441,816,9,-692
-7.838616371,4.043806553,3.742137194,0.301767439,0.124616511,0.072082102,-6908,-4444,1866,446,-306,-1397
-7.747636795,4.108449936,3.569754839,0.249233022,0.096516706,0.06963864,-6546,-4777,1787,124,10,-1510
-7.852981567,4.237737179,3.205836058,0.175929189,0.037873644,0.068416908,-6193,-5570,2070,-274,-92,-519
-7.800309181,4.520252705,3.34469986,0.021991149,0.032986723,0.040317107,-6207,-5621,2058,-85,-121,-576
-7.771578789,4.429273129,3.090914488,0.040317107,0.036651913,0.015882496,-5834,-5953,2116,-100,-258,-827
-7.860164165,4.30956316,2.956839085,0.12339478,0.06963864,0.037873644,-5972,-5832,1929,-91,50,-758
-7.747636795,4.508281708,2.873042107,0.034208454,-0.009773844,0.024434609,-5507,-6259,1956,102,36,-615
-7.860164165,4.412513733,2.920926094,-0.063529983,-0.002443461,-0.021991149,-5506,-6039,1962,-41,78,-388
-7.4363904,3.924096584,3.38061285,-0.48991394,-0.215024561,-0.087964594,-5299,-6478,2027,60,82,-235
-7.7284832,4.079719543,3.931279182,-0.525344133,-0.213802829,-0.160046697,-5448,-6524,2038,-367,-306,-318
